id,isbn,title,authors,language,genre,published,published_date,page_count,size,created_date,updated_date,deleted_date
31,0195153448,ANNO DRACULA PB,"{""Newman K.""}",en,"{Horror,Fantasy,Paranormal,Vampires,Fiction,Historical,""Historical Fiction"",""Science Fiction"",""Alternate History"",""Science Fiction"",Steampunk,Fantasy,Paranormal,Historical,Mystery}",Oxford University Press,1994-10-21,409,15.5x20.5,2024-02-26,,
32,0195153448,Vurt,"{""Jeff Noon""}",en,"{""Science Fiction"",Fiction,""Science Fiction"",Cyberpunk,Fantasy,""Science Fiction"",Dystopia,""Speculative Fiction"",Novels,""Science Fiction Fantasy"",Surreal,""European Literature"",""British Literature""}",Oxford University Press,1994,344,15.5x20.5,2024-02-26,,
33,0195153448,To Die for,"{""Janet Neel""}",en,"{Mystery,""European Literature"",""British Literature"",Mystery,Crime}",Oxford University Press,1998,240,15.5x20.5,2024-02-26,,
36,0195153448,Vanishing Point,"{""John Nichol""}",en,{Fiction},Oxford University Press,1997,357,15.5x20.5,2024-02-26,,
39,0195153448,Hide and Seek,"{""Fern Michaels""}",en,"{Mystery,Fiction,Romance,Suspense,""Womens Fiction"",""Chick Lit"",Thriller,Mystery,Crime,Thriller,""Mystery Thriller"",Contemporary,""Adult Fiction""}",Oxford University Press,2008,316,15.5x20.5,2024-02-26,,
40,0195153448,Springwater Wedding,"{""Linda Lael Miller""}",en,"{Romance,Romance,""Historical Romance"",Romance,""Contemporary Romance"",Romance,""Western Romance"",Westerns,Fiction,Contemporary,Historical,Historical,""Historical Fiction""}",Oxford University Press,2002-01,384,15.5x20.5,2024-02-26,,
42,0195153448,Tales of Mithgar,"{""Dennis L. McKiernan""}",en,"{Fantasy,""Science Fiction Fantasy"",Fantasy,""High Fantasy"",""Short Stories"",Anthologies}",Oxford University Press,1995-11-16,256,15.5x20.5,2024-02-26,,
45,0195153448,Let the Drum Speak,"{""Linda Lay Shuler""}",en,"{Historical,""Historical Fiction"",Fiction,Historical,""Historical Fiction"",Prehistoric,Romance,Adult,History,Prehistory,Drama,""Native Americans"",""The United States Of America""}",Oxford University Press,1997,495,15.5x20.5,2024-02-26,,
46,0195153448,Back After the Break,"{""Anita Notaro""}",en,"{""Womens Fiction"",""Chick Lit"",Roman}",Oxford University Press,2003,445,15.5x20.5,2024-02-26,,
47,0195153448,Pip,"{""Freya North""}",en,"{""Womens Fiction"",""Chick Lit"",Fiction,Romance,Contemporary,Romance,""Contemporary Romance"",Drama}",Oxford University Press,2004,384,15.5x20.5,2024-02-26,,
53,0195153448,The Last Witness,"{""John Matthews""}",en,"{Mystery,Fiction,Business,Amazon,Thriller,Thriller,""Mystery Thriller""}",Oxford University Press,2001,471,15.5x20.5,2024-02-26,,
55,0195153448,Garnethill,"{""Denise Mina""}",en,"{Mystery,Mystery,Crime,Fiction,Cultural,Scotland,Thriller,""Mystery Thriller"",Thriller,Adult,Suspense,Contemporary,""European Literature"",""British Literature""}",Oxford University Press,1999,444,15.5x20.5,2024-02-26,,
56,0195153448,Into the Darkness,"{""Barbara Michaels""}",en,"{Mystery,Fiction,Gothic,Romance,Suspense,Romance,""Romantic Suspense"",Gothic,""Gothic Romance"",Fantasy,Supernatural,Thriller,""Mystery Thriller"",Thriller}",Oxford University Press,1991,323,15.5x20.5,2024-02-26,,
385,0195153448,A Stain on the Silence,"{""Andrew Taylor""}",en,"{Mystery,Fiction,Mystery,Crime,Thriller,Thriller,""Mystery Thriller"",""European Literature"",""British Literature""}",Oxford University Press,2007,432,15.5x20.5,2024-02-26,,
59,0195153448,Pride and Prejudice,"{""Jane Austen""}",en,"{Classics,Fiction,Romance,Historical,""Historical Fiction"",Literature,Historical,Novels,Audiobook,Romance,""Historical Romance"",Adult}",Oxford University Press,2006-04-06,432,15.5x20.5,2024-02-26,,
60,0195153448,Emma,"{""Jane Austen""}",en,"{Classics,Fiction,Romance,Historical,""Historical Fiction"",Literature,Historical,Audiobook,Literature,""19th Century"",Classics,""Classic Literature"",Novels}",Oxford University Press,2006-04-06,512,15.5x20.5,2024-02-26,,
61,0195153448,Sense and Sensibility,"{""Jane Austen""}",en,"{Classics,Fiction,Romance,Historical,""Historical Fiction"",Literature,Historical,Audiobook,Literature,""19th Century"",Classics,""Classic Literature"",""European Literature"",""British Literature""}",Oxford University Press,2007-12-06,416,15.5x20.5,2024-02-26,,
62,0195153448,With No One As Witness,"{""Elizabeth George""}",en,"{Mystery,Fiction,Mystery,Crime,Thriller,Thriller,""Mystery Thriller"",""European Literature"",""British Literature"",Audiobook,Mystery,Detective,Suspense,Mystery,""Murder Mystery""}",Oxford University Press,2012-10-30,928,15.5x20.5,2024-02-26,,
63,0195153448,The House of Scorta,"{""Laurent Gaudé"",""Stephen Sartarelli"",""Sophie Hawkes""}",en,"{Fiction,Cultural,France,Historical,""Historical Fiction"",Roman,Cultural,Italy,Novels,Contemporary,Academic,""Read For School"",""European Literature"",""French Literature"",Academic,School}",Oxford University Press,2007-01-01,289,15.5x20.5,2024-02-26,,
64,0195153448,Castaway,"{""Lucy Irvine""}",en,"{Nonfiction,Travel,Biography,Autobiography,Memoir,Adventure,Cultural,Australia,Adventure,Survival,Biography,Autobiography,""Biography Memoir""}",Oxford University Press,1999,412,15.5x20.5,2024-02-26,,
67,0195153448,Red Dust,"{""Jian Ma""}",en,"{Cultural,China,Travel,Nonfiction,Cultural,Asia,History,Autobiography,Memoir,Biography,Biography,Autobiography,""Asian Literature"",""Chinese Literature"",Adventure}",Oxford University Press,2006,324,15.5x20.5,2024-02-26,,
68,0195153448,The Old Man and the Sea,"{""Ernest Hemingway""}",en,"{""Literary Fiction"",Classics,""Classic Literature"",Classics,Novella,""Young Adult"",""High School"",Classics,""Modern Classics"",Adult,Fiction,""Adult Fiction"",Historical,""Historical Fiction""}",Oxford University Press,2004,109,15.5x20.5,2024-02-26,,
70,0195153448,Southeast Asia on a Shoestring,"{""China Williams""}",en,"{Travel,Nonfiction,Reference,Cultural,Asia,Adventure,Reference,Guidebook,""The United States Of America""}",Oxford University Press,2008,988,15.5x20.5,2024-02-26,,
71,0195153448,South-East Asia on a Shoestring,"{""Chris Rowthorn""}",en,"{Travel,Nonfiction,Reference,Cultural,Asia,Adventure,Reference,Guidebook,""The United States Of America""}",Oxford University Press,2001,988,15.5x20.5,2024-02-26,,
74,0195153448,More Twisted,"{""Jeffery Deaver""}",en,"{""Short Stories"",Fiction,Thriller,Mystery,Mystery,Crime,Suspense,Anthologies,Collections,Anthologies,Horror,Thriller,""Mystery Thriller""}",Oxford University Press,2007,433,15.5x20.5,2024-02-26,,
75,0195153448,"Fish, Blood and Bone","{""Leslie Forbes""}",en,"{Fiction,Mystery,Cultural,India,Literature,Thriller,""Mystery Thriller"",""Literary Fiction"",Mystery,Crime}",Oxford University Press,2000,466,15.5x20.5,2024-02-26,,
76,0195153448,Writ of Execution,"{""Perri O'Shaughnessy""}",en,"{Mystery,Fiction,Thriller,""Legal Thriller"",Thriller,""Mystery Thriller"",Romance,Suspense,Thriller,Mystery,Crime}",Oxford University Press,2002-06,427,15.5x20.5,2024-02-26,,
77,0195153448,Wives and Lovers,"{""Jane Elizabeth Varley""}",en,"{""Womens Fiction"",""Chick Lit"",Fiction,Family,Romance}",Oxford University Press,2004-02-05,410,15.5x20.5,2024-02-26,,
92,0195153448,The Lovely Bones,"{""Alice Sebold""}",en,"{Fiction,Mystery,""Young Adult"",Contemporary,Fantasy,Mystery,Crime,Thriller,""Adult Fiction"",Adult,Drama}",Oxford University Press,2003,328,15.5x20.5,2024-02-26,,
100,0195153448,Along Came Trouble,"{""Sherryl Woods""}",en,"{Romance,Romance,""Contemporary Romance"",Contemporary,Fiction,Mystery,""Womens Fiction"",""Chick Lit"",Romance,""Romantic Suspense"",Family,Suspense,Adult}",Oxford University Press,2002,400,15.5x20.5,2024-02-26,,
104,0195153448,The Blackwater Lightship,"{""Colm Tóibín""}",en,"{Fiction,Cultural,Ireland,""European Literature"",""Irish Literature"",LGBT,""Literary Fiction"",Contemporary,LGBT,Gay,Novels,Literature,""Book Club""}",Oxford University Press,1999-01-01,273,15.5x20.5,2024-02-26,,
124,0195153448,E,"{""Matt Beaumont""}",en,"{Fiction,Humor,Humor,Comedy,Contemporary,""European Literature"",""British Literature"",Novels,Business,Modern,""Womens Fiction"",""Chick Lit"",""Literary Fiction""}",Oxford University Press,2000,342,15.5x20.5,2024-02-26,,
146,0195153448,I Thee Wed,"{""Amanda Quick""}",en,"{Romance,Romance,""Historical Romance"",Historical,Mystery,Historical,""Historical Fiction"",Fiction,Historical,Regency,Fantasy,Paranormal,Suspense,""Historical Romance"",""Regency Romance""}",Oxford University Press,2000,362,15.5x20.5,2024-02-26,,
147,0195153448,Break No Bones,"{""Kathy Reichs""}",en,"{Mystery,Fiction,Mystery,Crime,Thriller,Thriller,""Mystery Thriller"",Suspense,Mystery,""Murder Mystery"",Audiobook,Mystery,Detective,Anthropology}",Oxford University Press,2007,468,15.5x20.5,2024-02-26,,
148,0195153448,Shelter,"{""Harlan Coben""}",en,"{Mystery,""Young Adult"",Thriller,Fiction,Mystery,Crime,Thriller,""Mystery Thriller"",Suspense,""Young Adult"",Teen,Audiobook,Adventure}",Oxford University Press,2011,320,15.5x20.5,2024-02-26,,
149,0195153448,Four Blind Mice,"{""James Patterson""}",en,"{Mystery,Fiction,Thriller,Mystery,Crime,Thriller,""Mystery Thriller"",Suspense,Audiobook,Adult,""Adult Fiction"",Mystery,Detective}",Oxford University Press,2003,416,15.5x20.5,2024-02-26,,
150,0195153448,The Food of Love,"{""Anthony Capella""}",en,"{Fiction,Romance,Cultural,Italy,""Womens Fiction"",""Chick Lit"",""Food and Drink"",Food,Contemporary,""Food and Drink"",Foodie,""Food and Drink"",Cooking,Romance,""Contemporary Romance"",Humor}",Oxford University Press,2005,309,15.5x20.5,2024-02-26,,
151,0195153448,A Song for Issy Bradley,"{""Carys Bray""}",en,"{Fiction,Contemporary,Religion,Family,""Literary Fiction"",Novels,""Adult Fiction"",Drama,Lds,Mormonism,""Book Club""}",Oxford University Press,2015-04-24,400,15.5x20.5,2024-02-26,,
152,0195153448,Every Woman Knows a Secret,"{""Rosie Thomas""}",en,"{Romance,Fiction,""Womens Fiction"",""Chick Lit"",Modern}",Oxford University Press,1997,490,15.5x20.5,2024-02-26,,
153,0195153448,Circling the Sun,"{""Paula McLain""}",en,"{Historical,""Historical Fiction"",Fiction,Cultural,Africa,Historical,Audiobook,""Book Club"",Romance,""Adult Fiction"",Adult,""Eastern Africa"",Kenya}",Oxford University Press,2016-07,384,15.5x20.5,2024-02-26,,
154,0195153448,The Forgotten Monarchy of Scotland,"{""Michael James Alexander Stewart""}",en,"{History,Cultural,Scotland,Nonfiction}",Oxford University Press,1998,502,15.5x20.5,2024-02-26,,
155,0195153448,Tampa Burn,"{""Randy Wayne White""}",en,"{Mystery,Fiction,Thriller,Thriller,""Mystery Thriller"",Mystery,Crime,Action,Adventure,Audiobook,Suspense}",Oxford University Press,2004,372,15.5x20.5,2024-02-26,,
156,0195153448,Soonish,"{""DR. KELLY. WEINERSMITH WEINERSMITH (ZACH.)"",""Zach Weinersmith""}",en,"{Science,Nonfiction,Science,Technology,Humor,""Sequential Art"",""Graphic Novels"",Futurism,""Sequential Art"",Comics,Science,""Popular Science"",Science,Physics,Unfinished}",Oxford University Press,2017-09-07,368,15.5x20.5,2024-02-26,,
157,0195153448,Blown To Bits: How The New Economics Of Information Transforms Strategy,{Evans},en,"{Business,Economics,Business,Management,Nonfiction,Science,Technology}",Oxford University Press,1999-10,261,15.5x20.5,2024-02-26,,
158,0195153448,Deadly Embrace,"{""Jackie Collins""}",en,"{Romance,Fiction,""Womens Fiction"",""Chick Lit"",Novels,Romance,""Contemporary Romance"",""Adult Fiction"",Thriller}",Oxford University Press,2002,533,15.5x20.5,2024-02-26,,
159,0195153448,The Race,"{""Clive Cussler"",""Justin Scott""}",en,"{Fiction,Adventure,Thriller,Historical,""Historical Fiction"",Action,Mystery,Historical,Audiobook,Mystery,Crime,Suspense}",Oxford University Press,2011,404,15.5x20.5,2024-02-26,,
160,0195153448,From Dusk 'til Dawn,"{""Keith Mann""}",en,"{Animals,Nonfiction,History,Politics,Biography}",Oxford University Press,2009-09,647,15.5x20.5,2024-02-26,,
161,0195153448,Sherman Exposed,"{""John Sherman""}",en,"{Mountaineering,Climbing,Nonfiction}",Oxford University Press,1999,238,15.5x20.5,2024-02-26,,
163,0195153448,Betrayal,"{""Paul Carson""}",en,"{Thriller,Mystery,Cultural,Ireland,Fiction}",Oxford University Press,2005,374,15.5x20.5,2024-02-26,,
164,0195153448,Hang Time,"{""Bob Greene""}",en,"{Sports,Sports,Sports,Basketball,Biography,Nonfiction,Autobiography,Memoir}",Oxford University Press,1992,406,15.5x20.5,2024-02-26,,
165,0195153448,Tokyo,"{""Mo Hayder""}",en,"{Thriller,Horror,Fiction,Mystery,Historical,""Historical Fiction"",Mystery,Crime,Cultural,Japan,Cultural,China,Thriller,""Mystery Thriller"",Historical}",Oxford University Press,2004-01-01,362,15.5x20.5,2024-02-26,,
167,0195153448,Broken,"{""Shy Keenan""}",en,"{Nonfiction,Autobiography,Memoir,Sociology,Abuse,Biography,Crime,""True Crime"",Biography,Autobiography,Psychology,""True Story"",Adult,Inspirational}",Oxford University Press,2008,305,15.5x20.5,2024-02-26,,
168,0195153448,Best of Friends,"{""Cathy Kelly""}",en,"{""Womens Fiction"",""Chick Lit"",Fiction,Contemporary,Romance,""Womens Fiction"",Cultural,Ireland,Novels,Modern,Adult,Roman}",Oxford University Press,2003,521,15.5x20.5,2024-02-26,,
169,0195153448,Road to Paradise,"{""Paullina Simons""}",en,"{Fiction,""Womens Fiction"",""Chick Lit"",Contemporary,Drama,Romance,""Adult Fiction"",Novels,""Book Club"",Adult,Adventure}",Oxford University Press,2007,544,15.5x20.5,2024-02-26,,
171,0195153448,Black Widow,"{""Randy Wayne White""}",en,"{Mystery,Thriller,Fiction,Audiobook,Thriller,""Mystery Thriller"",Mystery,Crime,Action,Adventure,Mystery,Detective}",Oxford University Press,2008,337,15.5x20.5,2024-02-26,,
174,0195153448,Dannii,"{""Dannii Minogue""}",en,"{Biography,Biography,Autobiography,Nonfiction}",Oxford University Press,2011-02-08,288,15.5x20.5,2024-02-26,,
175,0195153448,Peter Ustinov,"{""John Miller""}",en,"{Biography,Nonfiction}",Oxford University Press,2002,267,15.5x20.5,2024-02-26,,
176,0195153448,The New Kingdom,"{""Wilbur Smith"",""Mark Chadbourn""}",en,"{Historical,""Historical Fiction"",""Northern Africa"",Egypt,Fiction,Historical,Adventure,Cultural,Africa,Novels,""Historical Fiction"",""Historical Fantasy"",Action,Thriller}",Oxford University Press,2021-08-23,432,15.5x20.5,2024-02-26,,
214,0195153448,The Gift,"{""Danielle Steel""}",en,"{Romance,Fiction,""Womens Fiction"",""Chick Lit"",Adult,Drama,Romance,""Contemporary Romance"",Contemporary,""Adult Fiction"",Historical,Novels}",Oxford University Press,1995,316,15.5x20.5,2024-02-26,,
179,0195153448,Gods and Generals,"{""Jeff Shaara""}",en,"{Historical,""Historical Fiction"",Fiction,""Military History"",""Civil War"",War,Historical,War,""Military Fiction"",""North American Hi..."",""American History"",""American History"",""American Civil War"",Military,""Military History"",Classics}",Oxford University Press,1997,498,15.5x20.5,2024-02-26,,
182,0195153448,Love and Marriage,"{""Patricia Scanlan""}",en,"{""Womens Fiction"",""Chick Lit"",Fiction,Romance}",Oxford University Press,2012,650,15.5x20.5,2024-02-26,,
184,0195153448,The Game - out of print,"{""Neil Strauss""}",en,"{Nonfiction,Psychology,""Self Help"",Relationships,Biography,Autobiography,Memoir,""Self Help"",""Personal Development"",Sociology,Love,Romance}",Oxford University Press,2005-10-14,464,15.5x20.5,2024-02-26,,
187,0195153448,Everywhere that Mary Went,"{""Lisa Scottoline""}",en,"{Mystery,Fiction,Thriller,Suspense,Thriller,""Mystery Thriller"",Thriller,""Legal Thriller"",Mystery,Crime,Audiobook,Contemporary,Adult}",Oxford University Press,2000,368,15.5x20.5,2024-02-26,,
189,0195153448,Beast,"{""Peter Benchley""}",en,"{Horror,Fiction,Thriller,""Science Fiction"",Folklore,Monsters,Animals,Adventure,Action,Novels,Suspense}",Oxford University Press,1992,319,15.5x20.5,2024-02-26,,
190,0195153448,Song of the Wind,"{""Madge Swindells""}",en,{Romance},Oxford University Press,1993,505,15.5x20.5,2024-02-26,,
192,0195153448,Companions,"{""Susan Sizemore""}",en,"{Paranormal,Vampires,Fantasy,Fantasy,""Urban Fantasy"",Fantasy,Paranormal,Romance,Romance,""Paranormal Romance"",Fiction,Adult,Novels}",Oxford University Press,2001,265,15.5x20.5,2024-02-26,,
194,0195153448,Play with Fire,"{""Dana Stabenow""}",en,"{Mystery,Fiction,Mystery,Crime,Thriller,""Mystery Thriller"",Suspense,Thriller,Mystery,Detective,Audiobook,Literature,American,Womens}",Oxford University Press,1996-05,314,15.5x20.5,2024-02-26,,
195,0195153448,Liar's Market,"{""Taylor Smith""}",en,"{Fiction,Mystery,Thriller,""Mystery Thriller""}",Oxford University Press,2004,378,15.5x20.5,2024-02-26,,
197,0195153448,Dead Ringer,"{""Lisa Scottoline""}",en,"{Mystery,Fiction,Suspense,Thriller,Thriller,""Legal Thriller"",Mystery,Crime,Thriller,""Mystery Thriller"",Audiobook,Adult,""Adult Fiction""}",Oxford University Press,2004,448,15.5x20.5,2024-02-26,,
199,0195153448,Courting Trouble,"{""Lisa Scottoline""}",en,"{Mystery,Fiction,Thriller,Thriller,""Mystery Thriller"",Thriller,""Legal Thriller"",Suspense,Mystery,Crime,Audiobook,Adult,""Adult Fiction""}",Oxford University Press,2003-05-27,432,15.5x20.5,2024-02-26,,
200,0195153448,The Seven Sisters,"{""Anthony Sampson""}",en,"{History,Nonfiction,Economics,Politics,Business,Science,Geology}",Oxford University Press,1991,414,15.5x20.5,2024-02-26,,
201,0195153448,Blott on the Landscape,"{""Tom Sharpe""}",en,"{Fiction,Humor,Humor,Comedy,Audiobook,""European Literature"",""British Literature"",Modern,Literature,""20th Century"",Novels,Contemporary,Literature,""English Literature""}",Oxford University Press,1975,237,15.5x20.5,2024-02-26,,
202,0195153448,Sorcerers of Majipoor,"{""Robert Silverberg""}",en,"{Fantasy,""Science Fiction"",Fiction,""Speculative Fiction"",""Short Stories"",""Science Fiction Fantasy""}",Oxford University Press,1998-08-01,624,15.5x20.5,2024-02-26,,
203,0195153448,Thornyhold,"{""Mary Stewart""}",en,"{Fiction,Romance,Mystery,Gothic,Fantasy,Historical,""Historical Fiction"",Romance,""Romantic Suspense"",Historical,Suspense,""European Literature"",""British Literature""}",Oxford University Press,1989-01-01,289,15.5x20.5,2024-02-26,,
204,0195153448,"Perfect Murder, Perfect Town","{""Lawrence Schiller""}",en,"{Crime,""True Crime"",Nonfiction,Mystery,Crime,Mystery,""True Story"",History,Biography,Law,Historical,""Media Tie In""}",Oxford University Press,1999-10-18,832,15.5x20.5,2024-02-26,,
205,0195153448,Streets of Fire,"{""Troy Soos""}",en,"{Mystery,Mystery,""Historical Mystery"",Historical,Historical,""Historical Fiction""}",Oxford University Press,2008,288,15.5x20.5,2024-02-26,,
207,0195153448,Second Chance,"{""Danielle Steel""}",en,"{Romance,Fiction,""Womens Fiction"",""Chick Lit"",Contemporary,Adult,Romance,""Contemporary Romance"",Audiobook,""Adult Fiction"",Drama,Love}",Oxford University Press,2005,272,15.5x20.5,2024-02-26,,
208,0195153448,There's a Boy in the Girls' Bathroom,"{""Louis Sachar""}",en,"{Fiction,Childrens,Childrens,""Middle Grade"",""Young Adult"",""Realistic Fiction"",Humor,Academic,School,Childrens,Juvenile,Childrens,""Chapter Books"",Contemporary}",Oxford University Press,1987,195,15.5x20.5,2024-02-26,,
209,0195153448,Secret Smile,"{""Nicci French""}",en,"{Thriller,Fiction,Mystery,Mystery,Crime,Suspense,Thriller,""Mystery Thriller"",Thriller,""Psychological Thriller"",""European Literature"",""British Literature"",Contemporary,Adult}",Oxford University Press,2004,318,15.5x20.5,2024-02-26,,
210,0195153448,Skin Privilege,"{""Karin Slaughter""}",en,"{Mystery,Thriller,Mystery,Crime,Fiction,Suspense,Thriller,""Mystery Thriller"",Audiobook,Mystery,Detective,Adult,Mystery,""Murder Mystery""}",Oxford University Press,2008,560,15.5x20.5,2024-02-26,,
211,0195153448,To Love Again,"{""Bertrice Small""}",en,"{Romance,""Historical Romance"",Romance,Historical,Historical,""Historical Fiction"",Fiction,Historical,Medieval,Literature,American,""Historical Romance"",""Medieval Romance""}",Oxford University Press,2001,432,15.5x20.5,2024-02-26,,
386,0195153448,The Fall of Fyorlund,"{""Roger Taylor""}",en,"{Fantasy,Fiction,Fantasy,""Epic Fantasy""}",Oxford University Press,1989,467,15.5x20.5,2024-02-26,,
216,0195153448,Feather Boy,"{""Nicky Singer""}",en,"{""Young Adult"",Fiction,Childrens,Fantasy,Childrens,""Middle Grade"",Academic,School,""Realistic Fiction"",Contemporary,Mystery,Fantasy,Supernatural}",Oxford University Press,2002,285,15.5x20.5,2024-02-26,,
217,0195153448,Rogue,"{""Danielle Steel""}",en,"{Romance,Fiction,""Womens Fiction"",""Chick Lit"",Contemporary,Romance,""Contemporary Romance"",Adult,Love,Drama,Audiobook,Romantic}",Oxford University Press,2009,507,15.5x20.5,2024-02-26,,
218,0195153448,Black Lightning,"{""John Saul""}",en,"{Horror,Fiction,Mystery,Thriller,Suspense,Adult,Thriller,""Mystery Thriller"",Fantasy,Paranormal,Mystery,Crime,Mystery,Detective}",Oxford University Press,1996,438,15.5x20.5,2024-02-26,,
219,0195153448,The Icarus Girl,"{""Helen Oyeyemi""}",en,"{Fiction,Fantasy,""Magical Realism"",Horror,Cultural,Africa,""Western Africa"",Nigeria,Contemporary,""Literary Fiction"",Novels,Fantasy,Mythology}",Oxford University Press,2006,325,15.5x20.5,2024-02-26,,
220,0195153448,Five Farthings,"{""Susan Sallis""}",en,{Fiction},Oxford University Press,2003,411,15.5x20.5,2024-02-26,,
222,0195153448,Dark Fire,"{""C. J. Sansom""}",en,"{Historical,""Historical Fiction"",Mystery,Fiction,Historical,Mystery,Crime,Mystery,""Historical Mystery"",""English History"",""Tudor Period"",""European Literature"",""British Literature"",Thriller,Thriller,""Mystery Thriller""}",Oxford University Press,2005,512,15.5x20.5,2024-02-26,,
226,0195153448,Norah's Ark,"{""Judy Baer""}",en,"{""Christian Fiction"",Christian,Fiction,""Womens Fiction"",""Chick Lit"",Romance,""Christian Romance"",Romance,Animals,Romance,""Contemporary Romance""}",Oxford University Press,2006,361,15.5x20.5,2024-02-26,,
228,0195153448,The Best of Enemies,"{""Taylor Smith""}",en,"{Mystery,Thriller,Suspense,Fiction}",Oxford University Press,1997,475,15.5x20.5,2024-02-26,,
229,0195153448,Shattered Bone,"{""Chris Stewart""}",en,"{Fiction,Thriller,War,""Military Fiction""}",Oxford University Press,1998-09-22,432,15.5x20.5,2024-02-26,,
232,0195153448,31 Songs,"{""Nick Hornby""}",en,"{Music,Nonfiction,Writing,Essays,Autobiography,Memoir,""Short Stories"",Contemporary,Culture,""Pop Culture"",""European Literature"",""British Literature"",Humor,Biography}",Oxford University Press,2003,242,15.5x20.5,2024-02-26,,
233,0195153448,The Murder Room,"{""P. D. James""}",en,"{Mystery,Fiction,Mystery,Crime,Mystery,Detective,Thriller,""Mystery Thriller"",""European Literature"",""British Literature"",Mystery,""Murder Mystery"",Audiobook,Thriller,Suspense}",Oxford University Press,2004,540,15.5x20.5,2024-02-26,,
234,0195153448,Safe Harbour,"{""Danielle Steel""}",en,"{Romance,Fiction,""Womens Fiction"",""Chick Lit"",Romance,""Contemporary Romance"",Contemporary,Drama,Love,Novels,Family,Adult}",Oxford University Press,2003,322,15.5x20.5,2024-02-26,,
235,0195153448,Girl Mary,"{""Petru Popescu""}",en,"{Historical,""Historical Fiction"",Fiction,Religion,Historical,Biblical,Religion,Faith}",Oxford University Press,2009-09-08,356,15.5x20.5,2024-02-26,,
236,0195153448,A Vaudeville of Devils,"{""Robert Girardi""}",en,"{""Short Stories"",Fiction,Fantasy,Horror,Literature}",Oxford University Press,1999,421,15.5x20.5,2024-02-26,,
237,0195153448,The Secrets Within,"{""Emma Darcy""}",en,{Romance},Oxford University Press,1997,400,15.5x20.5,2024-02-26,,
239,0195153448,The Promise,"{""Danielle Steel""}",en,"{Romance,Fiction,""Womens Fiction"",""Chick Lit"",Contemporary,Romance,""Contemporary Romance"",Novels,Adult,Drama,""Adult Fiction"",Love}",Oxford University Press,1989,288,15.5x20.5,2024-02-26,,
240,0195153448,Answered Prayers,"{""Danielle Steel""}",en,"{Romance,Fiction,Contemporary,""Womens Fiction"",""Chick Lit"",""Adult Fiction"",Romance,""Contemporary Romance"",Drama,Novels,Audiobook,Adult}",Oxford University Press,2003,416,15.5x20.5,2024-02-26,,
241,0195153448,Secrets,"{""Danielle Steel""}",en,"{Romance,Fiction,""Womens Fiction"",""Chick Lit"",Romance,""Contemporary Romance"",""Adult Fiction"",Contemporary,Novels,""Womens Fiction"",""Young Adult"",""High School"",Drama}",Oxford University Press,1986-10,442,15.5x20.5,2024-02-26,,
