id,id_dau_sach,id_user,quantity,img_link,price,percent_damage,deposit,penalty_fee,created_date,updated_date,deleted_date
19,46,19,7,http://books.google.com/books/content?id=rsZKYGtFI_4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,600.00,10.00,337800.00,3700.00,2024-02-27,,
20,47,20,3,http://books.google.com/books/content?id=GcBduCiOb_8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,2400.00,0.00,402600.00,4400.00,2024-02-27,,
21,53,21,3,http://books.google.com/books/content?id=iPh4MwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2900.00,1.00,281600.00,3100.00,2024-02-27,,
22,55,22,4,http://books.google.com/books/content?id=HlFN0dNBFRMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2800.00,7.00,200100.00,2200.00,2024-02-27,,
23,56,23,6,http://books.google.com/books/content?id=YD1DOGlmaHQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1300.00,2.00,79200.00,800.00,2024-02-27,,
24,59,24,5,http://books.google.com/books/content?id=H76cryg8q18C&printsec=frontcover&img=1&zoom=1&source=gbs_api,2300.00,8.00,215700.00,2300.00,2024-02-27,,
25,60,25,2,http://books.google.com/books/content?id=SM35LaXdDC0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,200.00,9.00,226400.00,2500.00,2024-02-27,,
26,61,26,6,http://books.google.com/books/content?id=24BInD9p_-wC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2400.00,6.00,171600.00,1900.00,2024-02-27,,
27,62,27,1,http://books.google.com/books/content?id=HuhIuAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,900.00,0.00,486500.00,5400.00,2024-02-27,,
28,63,28,1,http://books.google.com/books/content?id=tYc6AQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2000.00,4.00,188900.00,2000.00,2024-02-27,,
29,64,29,2,http://books.google.com/books/content?id=-7h7AAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,200.00,9.00,448100.00,4900.00,2024-02-27,,
30,67,30,6,http://books.google.com/books/content?id=YYmJAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1200.00,5.00,118500.00,1300.00,2024-02-27,,
31,68,31,5,http://books.google.com/books/content?id=t-Dc3s218bsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2700.00,0.00,334800.00,3700.00,2024-02-27,,
32,70,32,5,http://books.google.com/books/content?id=FzH-wAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1600.00,7.00,258500.00,2800.00,2024-02-27,,
33,71,33,2,http://books.google.com/books/content?id=Tm-yAAAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1000.00,7.00,480400.00,5300.00,2024-02-27,,
34,74,34,6,http://books.google.com/books/content?id=ZlwRAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,500.00,8.00,367900.00,4000.00,2024-02-27,,
35,75,35,3,http://books.google.com/books/content?id=zgjVGwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,400.00,6.00,403100.00,4400.00,2024-02-27,,
36,76,36,3,http://books.google.com/books/content?id=_NaMDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2000.00,6.00,140000.00,1500.00,2024-02-27,,
37,77,37,4,http://books.google.com/books/content?id=QnUoGwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1900.00,7.00,215100.00,2300.00,2024-02-27,,
38,92,38,2,http://books.google.com/books/content?id=AAMemAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1100.00,0.00,357800.00,3900.00,2024-02-27,,
39,100,39,2,http://books.google.com/books/content?id=Xh-4dLjXJQoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,800.00,9.00,70400.00,700.00,2024-02-27,,
40,104,40,3,http://books.google.com/books/content?id=E9KoQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,700.00,3.00,121000.00,1300.00,2024-02-27,,
41,124,41,9,http://books.google.com/books/content?id=2oi0PwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2900.00,10.00,226500.00,2500.00,2024-02-27,,
42,146,42,7,http://books.google.com/books/content?id=0xVHDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1500.00,9.00,420800.00,4600.00,2024-02-27,,
43,147,43,3,http://books.google.com/books/content?id=saL1XExzIp8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,500.00,10.00,346100.00,3800.00,2024-02-27,,
44,148,44,5,http://books.google.com/books/content?id=HXUT_gAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,300.00,9.00,208300.00,2300.00,2024-02-27,,
45,149,45,2,http://books.google.com/books/content?id=S5KGPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1300.00,10.00,405200.00,4500.00,2024-02-27,,
46,150,46,3,http://books.google.com/books/content?id=HatOPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,600.00,1.00,291800.00,3200.00,2024-02-27,,
47,151,47,10,http://books.google.com/books/content?id=uIgxCAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,100.00,10.00,359500.00,3900.00,2024-02-27,,
48,152,48,6,http://books.google.com/books/content?id=IxFgAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1500.00,8.00,49500.00,500.00,2024-02-27,,
49,153,49,7,http://books.google.com/books/content?id=RY4cswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1400.00,7.00,304900.00,3300.00,2024-02-27,,
50,154,50,8,http://books.google.com/books/content?id=gPBmAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1900.00,3.00,406200.00,4500.00,2024-02-27,,
51,155,51,8,http://books.google.com/books/content?id=QtGgi_Z-h9IC&printsec=frontcover&img=1&zoom=1&source=gbs_api,200.00,0.00,477600.00,5300.00,2024-02-27,,
52,156,52,6,http://books.google.com/books/content?id=gbfOAQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2600.00,9.00,491100.00,5400.00,2024-02-27,,
53,157,53,1,http://books.google.com/books/content?id=GFJZwgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,100.00,3.00,487900.00,5400.00,2024-02-27,,
54,158,54,2,http://books.google.com/books/content?id=DFG_7-nqTYgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,300.00,7.00,290700.00,3200.00,2024-02-27,,
55,159,55,10,http://books.google.com/books/content?id=ULKTuQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1600.00,4.00,230200.00,2500.00,2024-02-27,,
56,160,56,9,http://books.google.com/books/content?id=mL4XGQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,100.00,9.00,398800.00,4400.00,2024-02-27,,
57,161,57,8,http://books.google.com/books/content?id=q3S_JwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1700.00,9.00,244800.00,2700.00,2024-02-27,,
58,163,58,8,http://books.google.com/books/content?id=BNDklGXR59AC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2500.00,5.00,381500.00,4200.00,2024-02-27,,
59,164,59,1,http://books.google.com/books/content?id=yPNMRokRLlsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,500.00,0.00,490300.00,5400.00,2024-02-27,,
60,165,60,3,http://books.google.com/books/content?id=VDRxQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2900.00,7.00,452800.00,5000.00,2024-02-27,,
61,167,61,6,http://books.google.com/books/content?id=L1AhAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,500.00,1.00,136400.00,1500.00,2024-02-27,,
62,168,62,2,http://books.google.com/books/content?id=RL2QuSQVIWsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1700.00,1.00,179200.00,1900.00,2024-02-27,,
63,169,63,1,http://books.google.com/books/content?id=a0n2Wq55Y20C&printsec=frontcover&img=1&zoom=1&source=gbs_api,1600.00,6.00,300900.00,3300.00,2024-02-27,,
64,171,64,3,http://books.google.com/books/content?id=R4vYwrTC4bAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2200.00,0.00,123900.00,1300.00,2024-02-27,,
65,174,65,3,http://books.google.com/books/content?id=EbmnbwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1600.00,6.00,331900.00,3600.00,2024-02-27,,
66,175,66,1,http://books.google.com/books/content?id=MRyaQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,600.00,5.00,327400.00,3600.00,2024-02-27,,
67,176,67,7,http://books.google.com/books/content?id=1nY7zgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1300.00,2.00,298800.00,3300.00,2024-02-27,,
68,179,68,1,http://books.google.com/books/content?id=EEPePkhGK60C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2700.00,2.00,308700.00,3400.00,2024-02-27,,
69,182,69,2,http://books.google.com/books/content?id=JhzppD_QJy0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,500.00,7.00,114600.00,1200.00,2024-02-27,,
70,184,70,10,http://books.google.com/books/content?id=p0c0nEx-8TcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2600.00,7.00,396000.00,4400.00,2024-02-27,,
71,187,71,2,http://books.google.com/books/content?id=CdGlPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2600.00,0.00,185500.00,2000.00,2024-02-27,,
72,189,72,5,http://books.google.com/books/content?id=GBtIQRG6h64C&printsec=frontcover&img=1&zoom=1&source=gbs_api,2700.00,2.00,98700.00,1000.00,2024-02-27,,
73,190,73,7,http://books.google.com/books/content?id=mA7zGgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1900.00,8.00,331300.00,3600.00,2024-02-27,,
74,192,74,6,http://books.google.com/books/content?id=nahWx7sqXM4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2700.00,6.00,289500.00,3200.00,2024-02-27,,
75,194,75,10,http://books.google.com/books/content?id=ikpnYlt2u6cC&printsec=frontcover&img=1&zoom=1&source=gbs_api,200.00,10.00,66200.00,700.00,2024-02-27,,
76,195,76,5,http://books.google.com/books/content?id=iiH-wo16zx8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,1900.00,3.00,315500.00,3500.00,2024-02-27,,
77,197,77,9,http://books.google.com/books/content?id=yCcO-82hcKgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2800.00,5.00,74700.00,800.00,2024-02-27,,
78,199,78,8,http://books.google.com/books/content?id=M0YGPjzqUY8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,400.00,7.00,248300.00,2700.00,2024-02-27,,
79,200,79,2,http://books.google.com/books/content?id=ZWAfAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1900.00,3.00,236400.00,2600.00,2024-02-27,,
80,201,80,4,http://books.google.com/books/content?id=efhiQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1900.00,5.00,126700.00,1400.00,2024-02-27,,
81,202,81,10,http://books.google.com/books/content?id=26BGmQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,800.00,2.00,54300.00,600.00,2024-02-27,,
82,203,82,10,http://books.google.com/books/content?id=NVOHtKD6x00C&printsec=frontcover&img=1&zoom=1&source=gbs_api,100.00,5.00,128100.00,1400.00,2024-02-27,,
83,204,83,10,http://books.google.com/books/content?id=isDWfVbP-hAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,300.00,3.00,175700.00,1900.00,2024-02-27,,
84,205,84,8,http://books.google.com/books/content?id=ljVK5vHribgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2800.00,4.00,59300.00,600.00,2024-02-27,,
85,207,85,2,http://books.google.com/books/content?id=Y-ieQN-uhGIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2200.00,7.00,153500.00,1700.00,2024-02-27,,
86,208,86,4,http://books.google.com/books/content?id=w9dv9lqSJrQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2800.00,9.00,398400.00,4400.00,2024-02-27,,
87,209,87,5,http://books.google.com/books/content?id=dXD_AAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1100.00,0.00,229700.00,2500.00,2024-02-27,,
88,210,88,8,http://books.google.com/books/content?id=ZS-nFuKAPcgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1700.00,4.00,492500.00,5400.00,2024-02-27,,
89,211,89,6,http://books.google.com/books/content?id=l9mxhh7NggsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,900.00,2.00,417100.00,4600.00,2024-02-27,,
90,214,90,1,http://books.google.com/books/content?id=p92pHwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1300.00,3.00,399700.00,4400.00,2024-02-27,,
91,216,91,6,http://books.google.com/books/content?id=M3zyMXAfwUkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,600.00,10.00,251800.00,2700.00,2024-02-27,,
92,217,92,10,http://books.google.com/books/content?id=cqK_XwUl0nMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1200.00,0.00,163100.00,1800.00,2024-02-27,,
93,218,93,8,http://books.google.com/books/content?id=g6cYmAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,800.00,5.00,353700.00,3900.00,2024-02-27,,
94,219,94,1,http://books.google.com/books/content?id=qJOGOB2g8XAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,700.00,6.00,252200.00,2800.00,2024-02-27,,
95,220,95,3,http://books.google.com/books/content?id=xa8FAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2400.00,9.00,349000.00,3800.00,2024-02-27,,
96,222,96,4,http://books.google.com/books/content?id=CyM-PgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2600.00,1.00,419800.00,4600.00,2024-02-27,,
97,226,97,10,http://books.google.com/books/content?id=N2LxAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2600.00,10.00,386100.00,4200.00,2024-02-27,,
98,228,98,4,http://books.google.com/books/content?id=mO1tEpn5mkoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2000.00,6.00,193800.00,2100.00,2024-02-27,,
99,229,99,4,http://books.google.com/books/content?id=THD2q1o4zAoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,500.00,7.00,84200.00,900.00,2024-02-27,,
100,232,100,6,http://books.google.com/books/content?id=hAQLAxpxIgYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1600.00,9.00,437400.00,4800.00,2024-02-27,,
101,233,101,1,http://books.google.com/books/content?id=vMCzQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1600.00,6.00,214600.00,2300.00,2024-02-27,,
102,234,102,7,http://books.google.com/books/content?id=RZDfBtvM3-EC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1000.00,7.00,402800.00,4400.00,2024-02-27,,
103,235,103,7,http://books.google.com/books/content?id=nYe8yRBRWd4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2500.00,10.00,243100.00,2700.00,2024-02-27,,
104,236,104,8,http://books.google.com/books/content?id=hYFcMwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1800.00,1.00,145400.00,1600.00,2024-02-27,,
105,237,105,7,http://books.google.com/books/content?id=qnYEAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1100.00,5.00,466500.00,5100.00,2024-02-27,,
106,239,106,7,http://books.google.com/books/content?id=gQ_ZCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,800.00,0.00,405700.00,4500.00,2024-02-27,,
107,240,107,3,http://books.google.com/books/content?id=2bukPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1200.00,9.00,196600.00,2100.00,2024-02-27,,
108,241,108,6,http://books.google.com/books/content?id=EHiLDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1900.00,5.00,367500.00,4000.00,2024-02-27,,
109,242,109,6,http://books.google.com/books/content?id=S-KLDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,200.00,0.00,136000.00,1500.00,2024-02-27,,
110,243,110,6,http://books.google.com/books/content?id=h_WiwWfCVwsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2300.00,6.00,286900.00,3100.00,2024-02-27,,
111,244,111,8,http://books.google.com/books/content?id=XicavgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,300.00,10.00,278500.00,3000.00,2024-02-27,,
112,245,112,3,http://books.google.com/books/content?id=xquf_px2NvwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2600.00,9.00,60000.00,600.00,2024-02-27,,
113,247,113,3,http://books.google.com/books/content?id=f7mNGgwWQAYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,700.00,9.00,454200.00,5000.00,2024-02-27,,
114,248,114,5,http://books.google.com/books/content?id=RgJbyKaFtTIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,100.00,3.00,399000.00,4400.00,2024-02-27,,
115,249,115,8,http://books.google.com/books/content?id=tlaKDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1000.00,3.00,321500.00,3500.00,2024-02-27,,
116,250,116,5,http://books.google.com/books/content?id=O7BqNgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2800.00,4.00,110800.00,1200.00,2024-02-27,,
117,251,117,2,http://books.google.com/books/content?id=u9-JPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1100.00,3.00,424500.00,4700.00,2024-02-27,,
118,252,118,8,http://books.google.com/books/content?id=T6TocRxC6ncC&printsec=frontcover&img=1&zoom=1&source=gbs_api,900.00,5.00,59300.00,600.00,2024-02-27,,
119,253,119,4,http://books.google.com/books/content?id=5rcmoS1v8awC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2500.00,10.00,427900.00,4700.00,2024-02-27,,
120,254,120,6,http://books.google.com/books/content?id=Nm7Y7496BikC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2900.00,5.00,488000.00,5400.00,2024-02-27,,
121,255,121,6,http://books.google.com/books/content?id=ueEeAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1500.00,4.00,199900.00,2200.00,2024-02-27,,
122,257,122,7,http://books.google.com/books/content?id=wjxTkTbjIK4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,500.00,5.00,244900.00,2700.00,2024-02-27,,
123,258,123,6,http://books.google.com/books/content?id=Ra46PgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2300.00,2.00,343300.00,3800.00,2024-02-27,,
124,259,124,6,http://books.google.com/books/content?id=h6tkHAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1500.00,7.00,158100.00,1700.00,2024-02-27,,
125,260,125,10,http://books.google.com/books/content?id=QLQPQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2900.00,5.00,406500.00,4500.00,2024-02-27,,
126,261,126,7,http://books.google.com/books/content?id=HltRIQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2000.00,3.00,95000.00,1000.00,2024-02-27,,
127,263,127,10,http://books.google.com/books/content?id=F58sAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1100.00,7.00,117400.00,1300.00,2024-02-27,,
128,265,128,2,http://books.google.com/books/content?id=ViVdMQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,300.00,0.00,394100.00,4300.00,2024-02-27,,
129,266,129,2,http://books.google.com/books/content?id=T4m4AAAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2200.00,9.00,178200.00,1900.00,2024-02-27,,
130,268,130,10,http://books.google.com/books/content?id=BdjZm3ocz6UC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2100.00,8.00,231200.00,2500.00,2024-02-27,,
131,269,131,4,http://books.google.com/books/content?id=lAEPHQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1800.00,1.00,237100.00,2600.00,2024-02-27,,
132,270,132,5,http://books.google.com/books/content?id=nfhvDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,500.00,10.00,145000.00,1600.00,2024-02-27,,
133,271,133,5,http://books.google.com/books/content?id=-34zRQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,900.00,4.00,93400.00,1000.00,2024-02-27,,
134,275,134,10,http://books.google.com/books/content?id=RhhfRAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,500.00,10.00,452700.00,5000.00,2024-02-27,,
135,277,135,9,http://books.google.com/books/content?id=fl3xPQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2000.00,4.00,411100.00,4500.00,2024-02-27,,
136,278,136,9,http://books.google.com/books/content?id=qmHPwAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,700.00,1.00,403800.00,4400.00,2024-02-27,,
137,279,137,10,http://books.google.com/books/content?id=CD-BPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2200.00,0.00,449300.00,4900.00,2024-02-27,,
138,280,138,7,http://books.google.com/books/content?id=M1sVQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2700.00,4.00,141800.00,1500.00,2024-02-27,,
139,281,139,7,http://books.google.com/books/content?id=_28FAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,500.00,3.00,152400.00,1600.00,2024-02-27,,
140,283,140,7,http://books.google.com/books/content?id=53OSxMdzhm8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,100.00,7.00,353800.00,3900.00,2024-02-27,,
141,284,141,1,http://books.google.com/books/content?id=QyB7KQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,100.00,2.00,146500.00,1600.00,2024-02-27,,
142,285,142,5,http://books.google.com/books/content?id=5lgzPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1200.00,4.00,257100.00,2800.00,2024-02-27,,
143,287,143,8,http://books.google.com/books/content?id=ewRPPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,900.00,8.00,414500.00,4600.00,2024-02-27,,
144,288,144,4,http://books.google.com/books/content?id=4N54mikWvMkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,200.00,8.00,219100.00,2400.00,2024-02-27,,
145,289,145,10,http://books.google.com/books/content?id=S-zgAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2900.00,7.00,493300.00,5400.00,2024-02-27,,
146,291,146,9,http://books.google.com/books/content?id=o5WfivahG_0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,700.00,5.00,63000.00,700.00,2024-02-27,,
147,292,147,8,http://books.google.com/books/content?id=AlQNwpVUmL0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1500.00,6.00,79400.00,800.00,2024-02-27,,
148,293,148,10,http://books.google.com/books/content?id=qHC9KKCPgngC&printsec=frontcover&img=1&zoom=1&source=gbs_api,300.00,8.00,353400.00,3900.00,2024-02-27,,
149,294,149,8,http://books.google.com/books/content?id=jsrfew4HWLwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1000.00,1.00,371100.00,4100.00,2024-02-27,,
150,295,150,9,http://books.google.com/books/content?id=7Wra90UfFfIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1600.00,8.00,361500.00,4000.00,2024-02-27,,
151,296,151,9,http://books.google.com/books/content?id=qbvwLS7GnnMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2700.00,2.00,45200.00,500.00,2024-02-27,,
152,299,152,6,http://books.google.com/books/content?id=mcmoGQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1800.00,6.00,416500.00,4600.00,2024-02-27,,
153,300,153,4,http://books.google.com/books/content?id=unB1GQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1800.00,5.00,247000.00,2700.00,2024-02-27,,
154,301,154,7,http://books.google.com/books/content?id=dI1hQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,400.00,0.00,186900.00,2000.00,2024-02-27,,
